#timestamp[ns],tx,ty,tx,w,x,y,z
1741366090650722083,0.0258128,0.259766,0.0105432,0.990655,-0.0116239,-0.0607525,-0.121562
1741366090717170083,0.114339,0.605692,-0.00579372,0.990751,-0.0119292,-0.0611981,-0.120516
1741366090817180083,0.20824,1.23189,-0.0127861,0.990917,-0.0123053,-0.0609904,-0.119213
1741366090917141083,0.253278,1.76434,-0.0375754,0.991023,-0.0126526,-0.060978,-0.118297
1741366090984019083,0.281122,2.56776,-0.148856,0.991004,-0.0125388,-0.0613997,-0.118252
1741366091084022083,0.381,2.84953,-0.852007,0.991126,-0.0112918,-0.0617071,-0.117191
1741366091150532083,0.387957,2.60157,-1.93156,0.991194,-0.00999456,-0.0628728,-0.116106
1741366091217407083,0.298319,2.58442,-2.06868,0.991181,-0.00993897,-0.0624637,-0.116445
1741366091284038083,0.278268,2.71437,-2.11335,0.991181,-0.0106373,-0.062621,-0.116298
1741366091384037083,0.368975,2.92668,-2.20123,0.991226,-0.0115633,-0.062103,-0.116106
1741366091450532083,0.519864,3.00165,-2.84924,0.991155,-0.011155,-0.0630871,-0.116226
1741366091517430083,0.733147,3.01403,-5.19749,0.990953,-0.0103842,-0.0657794,-0.116525
1741366091617527083,1.77281,2.99716,-7.30912,0.990682,-0.010167,-0.0672999,-0.117968
1741366091684012083,2.13441,2.87081,-6.71527,0.990602,-0.00945548,-0.0678011,-0.11841
1741366091750786083,3.74687,2.84418,-11.242,0.990278,-0.00838752,-0.0715173,-0.119016
1741366091817419083,5.58974,2.75802,-18.5006,0.989952,-0.00727454,-0.076413,-0.118755
1741366091883994083,4.87381,2.41884,-18.6688,0.990199,-0.00800601,-0.0734004,-0.118554
1741366091950837083,2.58034,2.71088,-3.83266,0.990952,-0.0112442,-0.0606003,-0.11923
1741366092017416083,-0.290564,-0.850079,-22.6742,0.990462,-0.00746657,-0.0745399,-0.115639
1741366092083938083,-0.626894,0.426419,-44.5394,0.990154,-0.00805262,-0.0759205,-0.117328
1741366092150793083,0.128442,2.12208,-3.94634,0.991083,-0.0123892,-0.0599563,-0.118352
1741366092217501083,-0.861038,-1.22107,-30.4406,0.990247,-0.0094183,-0.0770227,-0.115715
1741366092284131083,-0.93998,-1.45837,-35.1671,0.989953,-0.00911901,-0.0787787,-0.11706
1741366092350817083,-4.1264,-6.37234,-23.8351,0.990648,-0.00935069,-0.0735603,-0.114536
1741366092450794083,-3.45996,-3.23746,-38.6148,0.989994,-0.00843825,-0.0758775,-0.118675
1741366092550846083,-3.3901,-0.562288,-66.5029,0.98973,-0.00784804,-0.077699,-0.119733
1741366092617309083,-3.36405,-0.212065,-66.8696,0.989759,-0.00782414,-0.0776507,-0.119526
1741366092684182083,-3.28292,-0.0413317,-67.321,0.989786,-0.00822846,-0.0777639,-0.1192
1741366092750800083,-3.23745,0.101436,-67.4324,0.98982,-0.00810267,-0.0777575,-0.118934
1741366092884262083,-3.20631,0.279188,-67.974,0.989804,-0.00850352,-0.0781489,-0.118777
1741366092917352083,-3.17266,0.418969,-68.231,0.989791,-0.00855259,-0.0782294,-0.11883
1741366093017509083,-3.15025,0.497015,-68.3434,0.989751,-0.00860384,-0.0777921,-0.11945
1741366093117640083,-0.656672,0.500056,-73.2427,0.989102,-0.00684369,-0.0853652,-0.119765
1741366093184266083,-0.053608,0.45298,-74.2334,0.988984,-0.00588823,-0.0864964,-0.11998
1741366093350766083,0.127195,0.26434,-74.4724,0.988966,-0.00599267,-0.086669,-0.119993
1741366093450684083,0.236468,0.337961,-74.1579,0.98912,-0.00733343,-0.084113,-0.120468
1741366093584219083,-1.58361,0.3319,-70.1368,0.9896,-0.00859297,-0.0778599,-0.120648
1741366093650867083,-1.84119,0.328558,-69.8159,0.989551,-0.00890113,-0.0779789,-0.120947
1741366093750942083,2.57606,-0.667844,-80.5361,0.988257,-0.00437128,-0.0944052,-0.120074
1741366093851027083,-0.99586,-0.602137,-71.3848,0.989392,-0.00898581,-0.078193,-0.122102
1741366093917645083,-1.64912,-0.617808,-69.8785,0.9894,-0.00873415,-0.0778226,-0.122294
1741366093984160083,-1.83243,-0.614699,-69.4157,0.989383,-0.00876308,-0.0776967,-0.122505
1741366094117653083,0.074766,-0.462376,-73.586,0.988811,-0.00690803,-0.0857017,-0.121904
1741366094184135083,3.00901,-0.248964,-77.3573,0.988389,-0.00635947,-0.090766,-0.121688
1741366094250950083,1.76964,-0.701354,-78.9963,0.988685,-0.0077176,-0.0879821,-0.121246
1741366094351038083,8.12311,1.20968,-81.7303,0.987476,-0.00433004,-0.0924117,-0.127798
